order_id,customer_id,customer_name,email,city,country,product_id,product_name,category,price,quantity,order_date,shipping_days,delivery_status
1001,C001,John Smith,john.smith@email.com,New York,USA,P101,Wireless Mouse,Electronics,25.99,2,2025-01-01,3,Delivered
1002,C002,Emma Johnson,emma.j@email.com,London,UK,P205,Ceramic Mug,Home,12.50,4,2025-01-02,5,Delivered
1003,C003,Liam Brown,liam.b@email.com,Sydney,Australia,P333,Notebook,Stationery,5.75,10,2025-01-03,2,Delivered
1004,C004,Olivia Davis,olivia.d@email.com,Toronto,Canada,P410,Desk Chair,Furniture,120.00,1,2025-01-04,7,Shipped
1005,C005,Noah Wilson,noah.w@email.com,Berlin,Germany,P512,Water Bottle,Sports,18.20,3,2025-01-05,4,Delivered
1006,C006,Ava Martinez,ava.m@email.com,Madrid,Spain,P101,Wireless Mouse,Electronics,25.99,1,2025-01-06,3,Delivered
1007,C007,William Anderson,will.a@email.com,Chicago,USA,P890,Backpack,Accessories,45.00,2,2025-01-07,6,Cancelled
1008,C008,Sophia Thomas,sophia.t@email.com,Paris,France,P205,Ceramic Mug,Home,12.50,6,2025-01-08,5,Delivered
1009,C009,James Taylor,james.t@email.com,Dublin,Ireland,P720,Running Shoes,Sports,75.00,1,2025-01-09,4,Delivered
1010,C010,Isabella Moore,isabella.m@email.com,Rome,Italy,P333,Notebook,Stationery,5.75,20,2025-01-10,3,Delivered
1011,C011,Benjamin Jackson,ben.j@email.com,Los Angeles,USA,P410,Desk Chair,Furniture,120.00,1,2025-01-11,8,Shipped
1012,C012,Mia White,mia.w@email.com,Vienna,Austria,P512,Water Bottle,Sports,18.20,5,2025-01-12,4,Delivered
1013,C013,Lucas Harris,lucas.h@email.com,Amsterdam,Netherlands,P890,Backpack,Accessories,45.00,1,2025-01-13,6,Delivered
1014,C014,Charlotte Martin,charlotte.m@email.com,Brussels,Belgium,P101,Wireless Mouse,Electronics,25.99,3,2025-01-14,3,Delivered
1015,C015,Henry Thompson,henry.t@email.com,Prague,Czech Republic,P205,Ceramic Mug,Home,12.50,2,2025-01-15,5,Returned
1016,C016,Amelia Garcia,amelia.g@email.com,Lisbon,Portugal,P720,Running Shoes,Sports,75.00,2,2025-01-16,4,Delivered
1017,C017,Alexander Martinez,alex.m@email.com,Warsaw,Poland,P333,Notebook,Stationery,5.75,15,2025-01-17,3,Delivered
1018,C018,Evelyn Robinson,evelyn.r@email.com,Budapest,Hungary,P410,Desk Chair,Furniture,120.00,2,2025-01-18,7,Processing
1019,C019,Daniel Clark,daniel.c@email.com,Oslo,Norway,P512,Water Bottle,Sports,18.20,1,2025-01-19,5,Delivered
1020,C020,Harper Rodriguez,harper.r@email.com,Stockholm,Sweden,P890,Backpack,Accessories,45.00,3,2025-01-20,6,Delivered
1021,C021,Michael Lewis,michael.l@email.com,Copenhagen,Denmark,P101,Wireless Mouse,Electronics,25.99,2,2025-01-21,3,Delivered
1022,C022,Abigail Lee,abigail.l@email.com,Helsinki,Finland,P205,Ceramic Mug,Home,12.50,4,2025-01-22,5,Delivered
1023,C023,Ethan Walker,ethan.w@email.com,Zurich,Switzerland,P720,Running Shoes,Sports,75.00,1,2025-01-23,4,Shipped
1024,C024,Emily Hall,emily.h@email.com,Athens,Greece,P333,Notebook,Stationery,5.75,12,2025-01-24,3,Delivered
1025,C025,Jacob Allen,jacob.a@email.com,Istanbul,Turkey,P410,Desk Chair,Furniture,120.00,1,2025-01-25,8,Cancelled
1026,C026,Logan Young,logan.y@email.com,Seoul,South Korea,P512,Water Bottle,Sports,18.20,2,2025-01-26,4,Delivered
1027,C027,Grace King,grace.k@email.com,Tokyo,Japan,P101,Wireless Mouse,Electronics,25.99,1,2025-01-27,3,Delivered
1028,C028,Chloe Scott,chloe.s@email.com,Beijing,China,P205,Ceramic Mug,Home,12.50,3,2025-01-28,6,Delivered
1029,C029,David Green,david.g@email.com,Moscow,Russia,P720,Running Shoes,Sports,75.00,2,2025-01-29,5,Delivered
1030,C030,Zoe Adams,zoe.a@email.com,Dubai,UAE,P333,Notebook,Stationery,5.75,8,2025-01-30,3,Delivered
1031,C031,Matthew Baker,matt.b@email.com,Singapore,Singapore,P410,Desk Chair,Furniture,120.00,1,2025-01-31,7,Shipped
1032,C032,Natalie Gonzalez,nat.g@email.com,Bangkok,Thailand,P512,Water Bottle,Sports,18.20,4,2025-02-01,4,Delivered
1033,C033,Samuel Nelson,sam.n@email.com,Delhi,India,P890,Backpack,Accessories,45.00,2,2025-02-02,6,Delivered
1034,C034,Victoria Carter,vic.c@email.com,Mexico City,Mexico,P101,Wireless Mouse,Electronics,25.99,3,2025-02-03,3,Delivered
1035,C035,Andrew Mitchell,and.m@email.com,Sao Paulo,Brazil,P205,Ceramic Mug,Home,12.50,5,2025-02-04,5,Delivered
1036,C036,Lucy Perez,lucy.p@email.com,Buenos Aires,Argentina,P720,Running Shoes,Sports,75.00,1,2025-02-05,4,Delivered
1037,C037,Jack Roberts,jack.r@email.com,Cape Town,South Africa,P333,Notebook,Stationery,5.75,9,2025-02-06,3,Delivered
1038,C038,Hannah Turner,han.t@email.com,Auckland,New Zealand,P410,Desk Chair,Furniture,120.00,2,2025-02-07,7,Processing
1039,C039,Ryan Phillips,ryan.p@email.com,Honolulu,USA,P512,Water Bottle,Sports,18.20,2,2025-02-08,5,Delivered
