nev,szulhely,szuldatum,email,telefonszam,iranyitoszam,varos,utca,hazszam,nem,allampolgarsag,szemelyi_azonosito,anyja_neve
Kovács Aladár,Budapest,2005.01.31.,kovács.aladár25@freemail.hu,+36566568219,9886,Debrecen,Ady Endre utca,21,nő,magyar,4701513059,Szabó Katalin
Szabó Béla,Debrecen,2001.06.12.,szabó.béla25@freemail.hu,+36317436728,9453,Miskolc,Fő utca,106,férfi,magyar,8264884332,Nagy Éva
Tóth Ivett,Szeged,2003.09.22.,tóth.ivett24@freemail.hu,+36378687820,6430,Pécs,Fő utca,30,nő,magyar,7048553979,Szabó Katalin
Nagy Géza,Miskolc,1999.11.03.,nagy.géza12@gmail.com,+36254837749,4188,Budapest,Ady Endre utca,94,férfi,magyar,5513036606,Kiss Mária
Kiss Anna,Pécs,2004.02.14.,kiss.anna33@outlook.com,+36512706892,6832,Szeged,Kossuth Lajos utca,65,nő,magyar,5827882799,Kiss Mária
Molnár Péter,Győr,2000.07.19.,molnár.péter11@outlook.com,+36251771205,3991,Debrecen,Petőfi Sándor utca,87,férfi,magyar,4061534791,Nagy Éva
Varga Zoltán,Nyíregyháza,2002.03.08.,varga.zoltán20@gmail.com,+36616701295,8313,Pécs,Petőfi Sándor utca,131,férfi,magyar,2091353847,Nagy Éva
Horváth Mária,Kecskemét,1998.12.30.,horváth.mária93@gmail.com,+36225884781,6146,Budapest,Petőfi Sándor utca,140,nő,magyar,7578433304,Kiss Mária
Balogh József,Szombathely,2006.05.11.,balogh.józsef82@gmail.com,+36596611364,7886,Szeged,Fő utca,2,nő,magyar,2680936289,Szabó Katalin
Farkas Éva,Szolnok,2001.10.25.,farkas.éva1@freemail.hu,+36484507354,9298,Budapest,Fő utca,132,nő,magyar,3385358967,Kiss Mária
Papp Gábor,Tatabánya,2003.08.17.,papp.gábor68@gmail.com,+36224431801,3175,Debrecen,Fő utca,73,nő,magyar,5337061560,Nagy Éva
Lakatos Lilla,Kaposvár,2005.01.05.,lakatos.lilla98@outlook.com,+36232273105,9081,Debrecen,Fő utca,17,férfi,magyar,9613908503,Kiss Mária
Juhász András,Veszprém,1997.04.09.,juhász.andrás98@outlook.com,+36448926619,7245,Miskolc,Ady Endre utca,92,nő,magyar,5583074716,Kiss Mária
Mészáros Zsófia,Eger,2002.06.21.,mészáros.zsófia34@gmail.com,+36438174623,4368,Debrecen,Ady Endre utca,100,nő,magyar,7694559718,Kiss Mária
Simon Tamás,Zalaegerszeg,2000.09.13.,simon.tamás90@gmail.com,+36554372282,4752,Debrecen,Ady Endre utca,100,nő,magyar,9642037692,Kiss Mária
Kocsis Ádám,Budapest,2004.11.27.,kocsis.ádám83@gmail.com,+36344398477,7425,Szeged,Fő utca,14,nő,magyar,4601541376,Szabó Katalin
Németh Dóra,Debrecen,2003.03.03.,németh.dóra59@gmail.com,+36649227259,7733,Miskolc,Petőfi Sándor utca,26,férfi,magyar,6177497253,Szabó Katalin
Oláh Gergő,Szeged,1999.07.15.,oláh.gergő30@outlook.com,+36449155947,8512,Budapest,Fő utca,90,nő,magyar,6717387108,Szabó Katalin
Major Anna,Miskolc,2006.12.01.,major.anna98@outlook.com,+36493501798,5254,Pécs,Ady Endre utca,123,nő,magyar,3676492406,Szabó Katalin
Takács Béla,Pécs,2001.02.28.,takács.béla30@freemail.hu,+36335318645,4665,Szeged,Petőfi Sándor utca,122,nő,magyar,1639703587,Kiss Mária
Kovács Péter,Győr,2005.06.06.,kovács.péter24@gmail.com,+36635900827,3822,Budapest,Fő utca,52,férfi,magyar,4709352187,Szabó Katalin
Szabó Zoltán,Nyíregyháza,2002.01.19.,szabó.zoltán47@freemail.hu,+36313288342,6521,Pécs,Kossuth Lajos utca,125,férfi,magyar,6515061147,Kiss Mária
Tóth László,Kecskemét,2003.05.24.,tóth.lászló24@outlook.com,+36264674850,8290,Miskolc,Petőfi Sándor utca,65,férfi,magyar,7352624644,Szabó Katalin
Nagy Mária,Szombathely,1998.08.08.,nagy.mária91@outlook.com,+36348319948,9401,Debrecen,Kossuth Lajos utca,115,nő,magyar,3384806810,Szabó Katalin
Kiss József,Szolnok,2000.12.12.,kiss.józsef3@outlook.com,+36526489576,7479,Miskolc,Fő utca,94,férfi,magyar,5044816179,Nagy Éva
Molnár Éva,Tatabánya,2004.09.09.,molnár.éva26@freemail.hu,+36501433306,9926,Debrecen,Ady Endre utca,67,férfi,magyar,4699864273,Szabó Katalin
Varga Gábor,Kaposvár,2001.03.17.,varga.gábor84@gmail.com,+36571044807,6595,Budapest,Ady Endre utca,141,nő,magyar,9852627351,Szabó Katalin
Horváth Anna,Veszprém,2006.07.07.,horváth.anna82@freemail.hu,+36636889706,1631,Debrecen,Kossuth Lajos utca,82,nő,magyar,7647822677,Nagy Éva
Balogh Péter,Eger,2002.02.02.,balogh.péter3@gmail.com,+36691193796,5088,Miskolc,Kossuth Lajos utca,91,férfi,magyar,9362722111,Kiss Mária
Farkas Zoltán,Zalaegerszeg,1999.10.10.,farkas.zoltán40@freemail.hu,+36266705593,1539,Miskolc,Ady Endre utca,101,férfi,magyar,2079697707,Kiss Mária
Papp Mária,Budapest,2003.04.14.,papp.mária87@outlook.com,+36219982550,6040,Pécs,Ady Endre utca,94,férfi,magyar,4727356172,Nagy Éva
Lakatos József,Debrecen,2005.08.18.,lakatos.józsef4@gmail.com,+36701412030,6499,Miskolc,Fő utca,25,férfi,magyar,4220759732,Szabó Katalin
